Student ID,Outcome,Reason,Job Seeking,Previous Salary,New Salary,Salary Delta,Filtered New Salary,Filtered Salary Delta,Delta when Below 60K,Repeated a Module,Filtered Repeated,,Gender Identity,Filtered Gender,Racial Identity,Filtered Racial,,Veteran Status,Filtered Veteran,,Highest Degree,Filtered W/O Degree,,Job Hunt Length,Filtered Job Hunt,,Job Title,Filtered Job Title
803,graduated,,Yes,"$24,000","$54,000","$30,000","$54,000","$30,000","$30,000",None,None,,Male,Male,White,White,,No,No,,High School Diploma or equivalent,High School Diploma or equivalent,,120+ days,120+ days,,Software Developer,Software Developer
804,finished,employed,Yes,"$40,000","$75,000","$35,000",,,"$35,000",None,,,Female,,Asian/Pacific Islander,,,No,,,Bachelor's degree,,,I received an offer before graduation,,,Associate software developer ,
809,graduated,,Yes,"$37,500","$70,000","$32,500","$70,000","$32,500","$32,500",None,None,,Female,Female,White,White,,No,No,,Associate's degree,Associate's degree,,I received an offer before graduation,I received an offer before graduation,,Associate Software Engineer,Associate Software Engineer
835,did not finish,employed,Yes,,,,,,,,,,Female,,White,,,,,,,,,,,,,
849,graduated,,Yes,"$75,000",n/a,,,,,Repeated one module,Repeated one module,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,partner,partner
851,graduated,,Yes,"$44,000","$90,000","$46,000","$90,000","$46,000","$46,000",None,None,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,junior developer,junior developer
858,did not finish,academic drop out,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
915,did not finish,academic drop out,,,,,,,,,,,Female,,White,,,,,,,,,,,,,
919,graduated,,Yes,"$75,000","$95,000","$20,000","$95,000","$20,000",,None,None,,Male,Male,White,White,,No,No,,Master's degree,Master's degree,,I received an offer before graduation,I received an offer before graduation,,Research Associate,Research Associate
924,graduated,,Yes,"$20,000","$65,000","$45,000","$65,000","$45,000","$45,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Engineer,Software Engineer
